영화제목,개봉일,예매율,예매매출액,관객수
지금은맞고그때는틀리다,2015-09-24,"759,000",673978092,65
리코더 시험,,"191,000",631337,65
마더,2009-05-28,"691,000",19991263300,60
사람과 고기,2025-10-07,"533,900",307563440,56
미망,2024-11-20,"534,000",98476260,55
제18회 스토리업쇼츠 섹션1. 남겨진 이들의 계절,,"506,000",0,55
종이 울리는 순간,2025-11-12,"609,000",7181300,53
고갈 감독판,,"496,000",0,50
마루는 강쥐,,"398,600",27542900,50
양양,2025-10-22,"369,000",26540260,49
엄마를 버리러 갑니다,2025-11-05,"516,000",204101900,45
다시 쓰는 희노애락,,"280,000",0,40
제18회 스토리업쇼츠 섹션2. 불협화음의 시대,,"312,000",0,34
반짝반짝 달님이,,"240,000",24442700,34
최초의 기억,2025-11-12,"273,000",6089500,27
썬더버드,2022-09-21,"270,000",52757800,27
1980 사북,2025-10-29,"204,000",56808300,27
초콜릿,2025-11-19,"187,600",1524300,21
나쁜계집애: 달려라 하니,2025-10-07,"221,000",639859580,20
브레드이발소: 베이커리타운의 악당들,2025-09-27,"165,300",2489695400,20
직지루트; 테라 인코그니타,2025-11-12,"190,000",6435300,19
어쩌면 해피엔딩,2025-10-02,"131,000",246758530,17
WDN 섹션 1: 경험의 가장자리,,"140,000",0,14
바얌섬,2025-10-29,"115,000",10099300,14
샤샤 & 마일로,,"88,000",20527800,14
롤링스톤,,"120,000",0,12
하얀 차를 탄 여자,2025-10-29,"113,000",189329600,12
제27회 부산독립영화제 메이드 인 부산 4,,"76,000",0,10
WDN 섹션 2: 기억과 장소의 가장자리,,"90,000",0,9
도돌이 언덕에 난기류,,"72,000",755000,9
산산조각 난 해,,"45,000",16000,9
제97회 작은영화영화제 - 떠나도 함께,,"45,000",0,9
제27회 부산독립영화제 메이드 인 부산 3,,"64,000",0,8
3학년 2학기,2025-09-03,"63,000",162725400,8
제27회 부산독립영화제 스펙트럼 부산-나우 2,,"60,000",0,8
한 채,2024-11-20,"69,000",46721100,7
연의 편지,2025-10-01,"58,500",2117822890,7
삼희 : The Adventure of 3 Joys,,"56,000",1000000,7
부력,,"52,000",0,7
10월의 어느 멋진 날에,,"48,000",0,7
재민이,,"31,000",0,7
"그래도, 사랑해.",,"38,000",1347000,5
한국인을 관두는 법,,"32,000",887000,4
일단발광,,"32,000",0,4
시네마 테러리스트,,"32,000",0,4
제27회 부산독립영화제 스펙트럼 부산-나우 3,,"28,000",0,4
동에 번쩍 서에 번쩍,2025-11-26,"27,000",3151500,4
손님,,"12,000",816000,4
홍이,2025-09-24,"28,000",42684730,3
얼굴,2025-09-11,"24,400",11010969970,3
트랜스-컨티넨탈-레일웨이,,"24,000",0,3
"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",,"22,000",9798100,3
옹기와 장인,,"20,000",0,3
우리의 이름,,"21,000",2268000,2
여름이 지나가면,2025-07-09,"20,000",99118500,2
제27회 부산독립영화제 스펙트럼 부산-리와인드,,"16,000",0,2
망양 중복,,"16,000",0,2
일과 날,2025-07-16,"16,000",12471900,2
생명의 은인,2025-11-05,"15,000",30773300,2
제 5회 2030 청년영화제 제 5회 사전제작지원2,,"14,000",0,2
이로 인해 그대는 죽지 않을 것이다,,"14,000",1147000,2
제27회 부산독립영화제 특별상영 1,,"14,000",0,2
제 5회 2030 청년영화제 제 5회 사전제작지원1,,"14,000",0,2
2025년 11월 수요단편극장,,"14,000",0,2
인디스데이 11월 단편,,"11,000",36000,2
첫여름,,"8,000",55153400,2
뼈,,"8,000",269000,1
디바 야누스,2025-10-22,"5,000",11052600,1
